,area,buildtime,room_num,hall_num,floor,dire,exemption of business tax,exemption of double tax,quality education,distance,loc
186,264.0,2005,3.0,2.0,1.0,2.0,1.0,0.0,0.0,783,25.0
187,98.0,2014,3.0,2.0,2.0,2.0,0.0,1.0,1.0,655,16.0
188,91.0,2016,3.0,2.0,3.0,1.0,0.0,1.0,1.0,5000,61.0
189,82.0,2016,3.0,2.0,3.0,2.0,1.0,0.0,0.0,5000,7.0
190,45.8,1994,1.0,1.0,2.0,1.0,1.0,0.0,1.0,5000,65.0
191,202.59,2000,4.0,2.0,3.0,1.0,0.0,1.0,0.0,405,69.0
192,93.0,2014,2.0,2.0,2.0,2.0,1.0,0.0,0.0,5000,23.0
193,35.6,1994,1.0,1.0,2.0,1.0,0.0,1.0,1.0,241,25.0
194,81.58,2012,3.0,1.0,2.0,1.0,0.0,1.0,0.0,5000,33.0
195,312.48,2006,4.0,2.0,1.0,2.0,0.0,1.0,1.0,439,13.0
196,81.58,2014,3.0,1.0,3.0,1.0,0.0,1.0,0.0,5000,33.0
197,87.0,2016,2.0,2.0,2.0,2.0,0.0,1.0,1.0,5000,23.0
198,91.0,1998,2.0,1.0,2.0,1.0,0.0,1.0,1.0,592,21.0
199,83.0,2008,2.0,1.0,1.0,1.0,0.0,1.0,1.0,440,50.0
200,156.0,2010,4.0,2.0,3.0,2.0,0.0,1.0,0.0,474,17.0
201,69.8,1995,2.0,1.0,2.0,1.0,0.0,1.0,1.0,1081,48.0
202,84.0,2014,3.0,2.0,2.0,2.0,0.0,1.0,1.0,1101,70.0
203,95.32,2008,3.0,2.0,2.0,2.0,1.0,0.0,0.0,5000,9.0
204,77.2,1994,3.0,1.0,2.0,1.0,0.0,1.0,1.0,5000,71.0
205,53.0,2010,1.0,1.0,2.0,2.0,0.0,1.0,0.0,5000,45.0
206,55.9,2013,1.0,1.0,3.0,1.0,0.0,1.0,0.0,5000,33.0
207,78.0,2006,1.0,1.0,2.0,2.0,0.0,1.0,0.0,463,6.0
208,93.67,1998,3.0,1.0,2.0,1.0,0.0,1.0,1.0,614,28.0
209,92.4,2005,2.0,2.0,2.0,2.0,0.0,1.0,1.0,5000,5.0
210,54.0,2012,1.0,1.0,3.0,2.0,0.0,1.0,1.0,5000,72.0
211,264.0,2004,3.0,2.0,2.0,2.0,1.0,0.0,0.0,783,25.0
212,69.23,1987,2.0,1.0,1.0,2.0,0.0,1.0,0.0,426,26.0
213,82.33,2015,2.0,2.0,2.0,2.0,0.0,1.0,0.0,1197,23.0
214,83.8,2007,2.0,1.0,3.0,1.0,0.0,1.0,0.0,981,54.0
215,72.0,2006,2.0,1.0,3.0,2.0,1.0,0.0,1.0,1101,70.0
216,136.5,2006,3.0,2.0,3.0,2.0,0.0,1.0,1.0,377,73.0
217,230.8,2006,5.0,2.0,3.0,2.0,0.0,1.0,1.0,921,41.0
218,112.48,2008,3.0,2.0,2.0,1.0,0.0,1.0,1.0,5000,43.0
219,133.0,2012,3.0,2.0,1.0,2.0,0.0,1.0,0.0,5000,36.0
220,106.0,2017,3.0,2.0,3.0,2.0,0.0,1.0,0.0,5000,37.0
221,160.46,1997,3.0,2.0,2.0,1.0,0.0,0.0,0.0,92,37.0
222,264.0,2002,3.0,2.0,1.0,1.0,1.0,0.0,0.0,783,25.0
223,67.78,1996,2.0,1.0,2.0,1.0,0.0,1.0,1.0,652,74.0
224,118.0,2016,3.0,2.0,3.0,2.0,1.0,0.0,1.0,5000,61.0
225,93.2,2003,2.0,2.0,2.0,1.0,0.0,1.0,1.0,282,75.0
226,57.0,2001,2.0,2.0,3.0,2.0,0.0,1.0,0.0,303,6.0
227,58.0,1995,2.0,1.0,3.0,1.0,0.0,1.0,1.0,172,44.0
228,53.5,1992,2.0,1.0,2.0,1.0,0.0,1.0,1.0,5000,76.0
229,115.2,2015,3.0,2.0,3.0,2.0,0.0,1.0,0.0,5000,29.0
230,52.0,2004,1.0,1.0,1.0,2.0,0.0,1.0,0.0,315,54.0
231,77.29,2013,2.0,1.0,2.0,1.0,1.0,0.0,1.0,5000,22.0
232,99.0,2004,2.0,2.0,2.0,2.0,0.0,1.0,1.0,877,54.0
233,114.0,2000,3.0,2.0,2.0,2.0,1.0,0.0,0.0,583,21.0
234,125.0,2007,3.0,2.0,2.0,2.0,0.0,1.0,1.0,627,23.0
235,81.0,2012,2.0,2.0,2.0,2.0,0.0,1.0,1.0,5000,12.0
236,49.2,1982,2.0,1.0,2.0,1.0,1.0,0.0,1.0,593,21.0
237,82.14,2015,3.0,2.0,2.0,2.0,1.0,0.0,0.0,5000,9.0
238,82.0,2016,3.0,2.0,3.0,2.0,1.0,0.0,0.0,5000,7.0
239,91.0,1996,3.0,2.0,2.0,2.0,0.0,1.0,1.0,5000,77.0
240,97.0,2017,2.0,2.0,3.0,2.0,1.0,0.0,1.0,5000,61.0
241,89.0,2018,3.0,2.0,3.0,2.0,0.0,1.0,0.0,5000,78.0
242,88.0,2008,2.0,2.0,3.0,2.0,0.0,1.0,1.0,5000,39.0
243,89.0,2011,3.0,2.0,3.0,2.0,0.0,1.0,1.0,5000,39.0
244,270.0,2008,4.0,2.0,3.0,2.0,1.0,0.0,1.0,588,79.0
245,98.06,2007,3.0,2.0,1.0,2.0,0.0,1.0,1.0,5000,61.0
246,280.0,2006,4.0,2.0,2.0,1.0,0.0,1.0,1.0,439,13.0
247,94.6,2006,2.0,2.0,2.0,1.0,0.0,1.0,1.0,321,49.0
248,90.11,2016,3.0,2.0,2.0,2.0,0.0,1.0,1.0,5000,61.0
