area,buildtime,room_num,hall_num,floor,dire,exemption of business tax,exemption of double tax,quality education,distance,loc,price
54.82,1995,2,1,2,1,0,1,1,1157,42,50164
133.2,1997,3,2,1,2,0,1,0,47,44,32132
102.7,2000,2,2,2,1,0,1,1,262,91,47225
118,2008,3,2,2,2,0,1,0,5000,39,21186
83,2008,2,2,2,2,0,0,0,5000,62,47590
212,2006,3,2,3,2,1,0,1,291,38,80189
85,2009,3,2,2,2,1,0,1,5000,3,11741
45.03,1990,2,1,1,1,0,0,0,621,4,53298
89,2018,3,2,2,3,0,0,0,5000,7,7978
134.71,2001,3,2,2,1,0,1,0,653,92,50182
131.4,2014,3,2,2,2,0,1,1,5000,61,32344
90.37,2015,3,2,2,2,1,0,0,5000,9,31316
76.21,2005,2,2,3,2,0,1,0,793,59,36741
53.1,2014,1,1,1,1,1,0,0,5000,23,23164
127.59,1999,3,2,3,1,1,0,1,5000,65,38561
431.9,2007,4,2,2,2,0,1,0,492,25,173651
301.23,2005,4,2,1,3,0,1,1,382,13,175945
290,2011,4,2,1,1,0,1,1,770,55,94828
138,1998,3,2,3,5,0,1,1,694,93,72464
74,2014,2,2,3,2,0,1,0,5000,33,27432
75.6,2007,2,1,2,1,0,1,0,5000,67,58201
101.1,2015,3,2,1,2,1,0,1,5000,12,39070
37.31,1984,1,1,3,2,1,0,0,5000,94,48244
76,2010,2,2,2,2,1,0,0,5000,33,30921
52.6,2012,1,1,3,1,0,1,1,1146,95,34221
94,2013,3,2,3,2,0,1,0,807,77,32234
92,2013,2,2,2,2,0,1,1,5000,29,28804
264,2002,3,2,1,2,1,0,0,783,25,90909
77,2017,2,2,2,2,1,0,0,5000,7,9221
346,2009,4,2,3,1,0,1,0,694,25,199422
81,2005,2,1,2,2,0,1,1,597,33,41975
99,2010,2,2,2,2,1,0,0,5000,58,14343
98,1996,3,1,1,2,0,1,0,675,24,42857
58.68,2015,1,1,2,1,0,1,0,1190,23,25222
126.33,2017,3,2,3,2,0,1,0,5000,9,39975
62.7,1996,2,1,2,1,0,1,1,657,41,55821
38,1995,1,1,1,1,0,1,1,172,44,50000
110,2016,2,2,3,1,0,1,1,770,55,109091
183,2005,3,2,2,2,0,1,1,633,17,83060
90.8,2012,2,2,2,2,0,1,1,666,49,80396
81.2,2016,2,2,2,1,0,1,1,5000,36,35099
90,2014,2,2,2,2,0,1,0,323,48,67556
73.5,2006,2,2,1,2,0,1,0,5000,33,36735
86.45,2000,2,2,3,2,0,1,0,488,37,61307
65,2009,1,2,2,1,0,1,0,800,63,58462
138,2014,3,2,3,2,1,0,1,5000,20,27899
39,2015,3,2,3,2,0,1,0,713,96,10769
55.7,1993,2,1,2,2,0,1,0,5000,71,45422
54,2012,1,1,3,2,0,1,1,5000,72,37963
235,2002,3,2,3,7,1,0,0,995,25,102128
83.07,2008,2,2,2,1,0,1,0,895,67,51764
49.1,1990,2,1,1,1,0,1,1,290,44,49898
209.3,2004,3,2,3,3,1,0,0,995,25,109890
92.6,2000,3,1,3,2,0,1,1,776,89,53780
56,2013,1,2,3,1,0,1,0,5000,33,29107
58.46,1992,2,1,2,1,0,1,1,5000,8,59528
174,2007,5,2,2,2,0,1,1,627,23,28161
74.43,1995,3,1,2,1,0,1,1,503,42,48368
88,2010,2,2,2,1,0,1,1,224,17,82955
72.2,1996,3,1,3,1,1,0,1,724,42,45706
228,2007,4,2,2,2,0,1,1,633,17,81579
37.8,1998,1,0,1,2,0,1,1,324,46,64815
80,2014,2,2,2,1,0,1,0,5000,33,26500
100.4,2018,3,2,3,1,0,0,0,5000,97,45319
157.35,2004,3,2,3,1,0,1,1,643,2,64824
53.1,2014,1,1,1,1,1,0,0,5000,23,23164
195,2005,3,2,1,2,0,1,0,783,25,117436
161.1,2006,3,2,2,1,0,1,1,650,84,96834
167,2003,3,2,3,2,0,1,1,125,6,70659
90,2018,3,2,3,2,0,1,0,5000,70,42222
58.42,1993,2,1,2,1,0,1,1,1063,8,57343
43.78,1991,1,1,1,1,1,0,1,379,11,60530
118,2009,3,2,2,2,1,0,0,5000,39,20763
91.29,2013,2,2,3,2,0,1,1,5000,61,39435
60,2001,2,1,2,2,0,1,0,366,66,27500
391,2017,5,3,1,1,0,1,0,337,13,183632
56.4,2015,1,1,3,1,0,1,0,5000,33,26596
248,2014,4,2,3,2,1,0,0,173,98,69355
142.05,2007,3,2,1,2,0,1,1,829,23,26751
86.6,2003,2,2,2,2,0,1,1,5000,45,40300
86.41,2013,2,2,3,2,0,1,1,512,60,40505
123,2008,3,1,2,2,0,1,1,1155,37,55285
69.9,1998,2,1,1,1,0,1,1,760,99,48641
134.2,2006,3,2,3,2,0,1,0,333,40,63338
56,2014,1,1,2,1,0,1,1,5000,19,21786
96.67,2015,3,2,3,2,1,0,1,863,19,26689
81,1999,2,2,2,1,0,0,1,461,37,59259
